PACKAGE_KEY,MOST_IDLE,MAX_WAIT,IDLE_COUNT,APPLICATION,LONGEST_WAIT,TIMEOUTS,LAST_ACCESS,MOST_ACTIVE,MAX_ACTIVE,MAX_IDLE,ACTIVE_COUNT,TOTAL_REQUEST_COUNT
1:SHARED,0,1,0,,0,0,2019-04-20T16:52:51.342,2,2,2,2,800
1:SHARED,2,1,0,,0,39,2019-04-20T16:53:01.360,2,2,2,2,800
1:SHARED,2,1,0,,0,72,2019-04-20T16:53:10.349,2,2,2,2,800
1:SHARED,2,1,0,,0,76,2019-04-20T16:53:21.875,2,2,2,2,800
1:SHARED,2,1,0,,0,114,2019-04-20T16:53:31.888,2,2,2,2,800
1:SHARED,2,1,0,,0,150,2019-04-20T16:53:41.899,2,2,2,2,800
1:SHARED,2,1,0,,0,186,2019-04-20T16:53:51.910,2,2,2,2,800
1:SHARED,2,1,0,,0,224,2019-04-20T16:54:01.920,2,2,2,2,800
1:SHARED,2,1,0,,0,260,2019-04-20T16:54:11.927,2,2,2,2,800
1:SHARED,2,1,0,,0,296,2019-04-20T16:54:21.935,2,2,2,2,800
1:SHARED,2,1,0,,0,334,2019-04-20T16:54:31.943,2,2,2,2,800
1:SHARED,2,1,0,,0,370,2019-04-20T16:54:41.949,2,2,2,2,800
1:SHARED,2,1,0,,0,406,2019-04-20T16:54:51.956,2,2,2,2,800
1:SHARED,2,1,0,,0,444,2019-04-20T16:55:01.963,2,2,2,2,800
1:SHARED,2,1,0,,0,480,2019-04-20T16:55:11.971,2,2,2,2,800
1:SHARED,2,1,0,,0,516,2019-04-20T16:55:21.978,2,2,2,2,800
1:SHARED,2,1,0,,0,554,2019-04-20T16:55:31.985,2,2,2,2,800
1:SHARED,2,1,0,,0,590,2019-04-20T16:55:41.992,2,2,2,2,800
1:SHARED,2,1,0,,0,626,2019-04-20T16:55:51.999,2,2,2,2,800
1:SHARED,2,1,0,,0,664,2019-04-20T16:56:02.005,2,2,2,2,800
1:SHARED,2,1,0,,0,700,2019-04-20T16:56:12.012,2,2,2,2,800
1:SHARED,2,1,0,,0,736,2019-04-20T16:56:22.019,2,2,2,2,800
1:SHARED,2,1,0,,0,774,2019-04-20T16:56:32.026,2,2,2,2,800
